# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_efld           14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       8.055387055970e+13       1.164831111776e-25       5.753463483416e-09       1.400015753157e+22       1.152959485625e+04       1.431289989685e-10       9.287534916559e+17       3.321948295199e-09       1.158576521185e+44       1.281361749426e+33       7.001194961690e+33       2.985121549152e-08       3.942499169248e+37       8.014671935690e+43       1.960044109087e+44       1.960044109087e+44       6.533479443431e+43      -4.542040514363e+52       5.082590390412e-05       4.624405176954e+00 
       7.999391316739e+13       1.181195823877e-25       5.793481250294e-09       1.380619431449e+22       1.152959485625e+04       1.441309019615e-10       9.222974097859e+17       3.345201932969e-09       1.126696229527e+44       1.254825523666e+33       6.856204454379e+33       2.985121549152e-08       3.852781302830e+37       7.794133996084e+43       1.906110014494e+44       1.906110014494e+44       6.353699149062e+43      -4.386353724938e+52       5.246544917911e-05       4.479892514014e+00 
       7.943784822965e+13       1.197790443810e-25       5.835318006575e-09       1.361491833360e+22       1.152959485625e+04       1.451398182755e-10       9.158862063399e+17       3.368618346192e-09       1.095693180741e+44       1.228838847069e+33       6.714216612660e+33       2.985121549152e-08       3.765105109780e+37       7.579664549761e+43       1.853660012307e+44       1.853660012307e+44       6.178865828902e+43      -4.236003386469e+52       5.410499445328e-05       4.344138194276e+00 
       7.888564868869e+13       1.214618201550e-25       5.875335773453e-09       1.342629235898e+22       1.152959485625e+04       1.461557970037e-10       9.095195693528e+17       3.392198674296e-09       1.065543235933e+44       1.203390338805e+33       6.575169253146e+33       2.985121549152e-08       3.679424128557e+37       7.371096611345e+43       1.802653265087e+44       1.802653265087e+44       6.008843358166e+43      -4.090806582288e+52       5.574453972664e-05       4.216369422751e+00 
       7.833728767483e+13       1.231682372450e-25       5.917172529735e-09       1.324027967646e+22       1.152959485625e+04       1.471788875830e-10       9.031971890280e+17       3.415944064685e-09       1.036222920429e+44       1.178468853734e+33       6.439001480231e+33       2.985121549152e-08       3.595692954931e+37       7.168267790359e+43       1.753050059110e+44       1.753050059110e+44       5.843499357784e+43      -3.950586665531e+52       5.738408499919e-05       4.095901723877e+00 
       7.779273850515e+13       1.248986277878e-25       5.957190296613e-09       1.305684408058e+22       1.152959485625e+04       1.482091397963e-10       8.969187577224e+17       3.439855672794e-09       1.007709405505e+44       1.154063477524e+33       6.305653659423e+33       2.985121549152e-08       3.513867217914e+37       6.971020164789e+43       1.704811773445e+44       1.704811773445e+44       5.682705091334e+43      -3.815173044232e+52       5.902363027092e-05       3.982126674935e+00 
       7.725197468224e+13       1.266533285865e-25       5.999027052894e-09       1.287594986743e+22       1.152959485625e+04       1.492466037751e-10       8.906839699313e+17       3.463934662149e-09       9.799804906107e+43       1.130163521875e+33       6.175067391219e+33       2.985121549152e-08       3.433903556253e+37       6.779200158127e+43       1.657900849887e+44       1.657900849887e+44       5.526335364802e+43      -3.684400973776e+52       6.066317554182e-05       3.874501628631e+00 
       7.671496989286e+13       1.284326811758e-25       6.040863809176e-09       1.269756182780e+22       1.152959485625e+04       1.502913300018e-10       8.844925222738e+17       3.488182204416e-09       9.530145860810e+43       1.106758519832e+33       6.047185485539e+33       2.985121549152e-08       3.355759595448e+37       6.592658419793e+43       1.612280763708e+44       1.612280763708e+44       5.374268429110e+43      -3.558111356473e+52       6.230272081190e-05       3.772541058442e+00 
       7.618169800667e+13       1.302370318888e-25       6.084519554861e-09       1.252164524024e+22       1.152959485625e+04       1.513433693121e-10       8.783441134779e+17       3.512599479467e-09       9.267906963302e+43       1.083838221206e+33       5.921951936673e+33       2.985121549152e-08       3.279393925300e+37       6.411249708856e+43       1.567915995225e+44       1.567915995225e+44       5.226385885325e+43      -3.436150548001e+52       6.394226608115e-05       3.675809235437e+00 
       7.565213307501e+13       1.320667319240e-25       6.126356311142e-09       1.234816586438e+22       1.152959485625e+04       1.524027728976e-10       8.722384443658e+17       3.537187675431e-09       9.012884035032e+43       1.061392588082e+33       5.799311898754e+33       2.985121549152e-08       3.204766077964e+37       6.234832780946e+43       1.524772002143e+44       1.524772002143e+44       5.082572592469e+43      -3.318370170477e+52       6.558181134956e-05       3.583914003575e+00 
       7.512624932957e+13       1.339221374140e-25       6.170012056828e-09       1.217708993421e+22       1.152959485625e+04       1.534695923081e-10       8.661752178393e+17       3.561947988754e-09       8.764878515784e+43       1.039411790426e+33       5.679211661743e+33       2.985121549152e-08       3.131836506506e+37       6.063270278282e+43       1.482815192658e+44       1.482815192658e+44       4.942716577873e+43      -3.204626931945e+52       6.722135661713e-05       3.496501465945e+00 
       7.460402118117e+13       1.358036094948e-25       6.211848813109e-09       1.200838415151e+22       1.152959485625e+04       1.545438794545e-10       8.601541388657e+17       3.586881624258e-09       8.523697309080e+43       1.017886201777e+33       5.561598627899e+33       2.985121549152e-08       3.060566563946e+37       5.896428622730e+43       1.442012899303e+44       1.442012899303e+44       4.806708949993e+43      -3.094782452041e+52       6.886090188386e-05       3.413251430101e+00 
       7.408542321850e+13       1.377115143759e-25       6.255504558794e-09       1.184201567943e+22       1.152959485625e+04       1.556256866110e-10       8.541749144629e+17       3.611989795197e-09       8.289152631834e+43       9.968063950309e+32       5.446421288753e+33       2.985121549152e-08       2.990918482776e+37       5.734177911791e+43       1.402333353519e+44       1.402333353519e+44       4.674443813634e+43      -2.988703093647e+52       7.050044714974e-05       3.333873488941e+00 
       7.357043020692e+13       1.396462234117e-25       6.299160304479e-09       1.167795213601e+22       1.152959485625e+04       1.567150664176e-10       8.482372536856e+17       3.637273723320e-09       8.061061868145e+43       9.761631383155e+32       5.333629202543e+33       2.985121549152e-08       2.922855354951e+37       5.576391817468e+43       1.363745660910e+44       1.363745660910e+44       4.545818187490e+43      -2.886259800298e+52       7.213999241477e-05       3.258103636010e+00 
       7.305901708717e+13       1.416081131737e-25       6.344635039568e-09       1.151616158795e+22       1.152959485625e+04       1.578120718828e-10       8.423408676107e+17       3.662734638926e-09       7.839247427114e+43       9.559473909439e+32       5.223172972124e+33       2.985121549152e-08       2.856341112324e+37       5.422947487900e+43       1.326219777197e+44       1.326219777197e+44       4.420731923972e+43      -2.787327939181e+52       7.377953767895e-05       3.185701332093e+00 
       7.255115897422e+13       1.435975655239e-25       6.388290785253e-09       1.135661254434e+22       1.152959485625e+04       1.589167563863e-10       8.364854693239e+17       3.688373780928e-09       7.623536604570e+43       9.361502994565e+32       5.115004223338e+33       2.985121549152e-08       2.791340507539e+37       5.273725451716e+43       1.289726484823e+44       1.289726484823e+44       4.299087631229e+43      -2.691787149500e+52       7.541908294226e-05       3.116446954428e+00 
       7.204683115600e+13       1.456149676891e-25       6.433765520342e-09       1.119927395059e+22       1.152959485625e+04       1.600291736812e-10       8.306707739051e+17       3.714192396911e-09       7.413761448606e+43       9.167631937435e+32       5.009075583825e+33       2.985121549152e-08       2.727819095350e+37       5.128609525010e+43       1.254237370203e+44       1.254237370203e+44       4.180790597321e+43      -2.599521196045e+52       7.705862820471e-05       3.050139571551e+00 
       7.154600909222e+13       1.476607123363e-25       6.477421266027e-09       1.104411518231e+22       1.152959485625e+04       1.611493778973e-10       8.248964984146e+17       3.740191743192e-09       7.209758628808e+43       8.977775832477e+32       4.905340662280e+33       2.985121549152e-08       2.665743214365e+37       4.987486720885e+43       1.219724801602e+44       1.219724801602e+44       4.065748716472e+43      -2.510417827784e+52       7.869817346629e-05       2.986594996289e+00 
       7.104866841319e+13       1.497351976489e-25       6.522896001115e-09       1.089110603943e+22       1.152959485625e+04       1.622774235429e-10       8.191623618799e+17       3.766373084882e-09       7.011369309090e+43       8.791851532465e+32       4.803754028133e+33       2.985121549152e-08       2.605079969213e+37       4.850247161476e+43       1.186161907621e+44       1.186161907621e+44       3.953872417363e+43      -2.424368641295e+52       8.033771872700e-05       2.925644077155e+00 
       7.055478491863e+13       1.518388274046e-25       6.568370736204e-09       1.074021674026e+22       1.152959485625e+04       1.634133655080e-10       8.134680852814e+17       3.792737695951e-09       6.818439024023e+43       8.609777612099e+32       4.704271191651e+33       2.985121549152e-08       2.545797213109e+37       4.716783992406e+43       1.153522556278e+44       1.153522556278e+44       3.845074593389e+43      -2.341268948881e+52       8.197726398683e-05       2.867131194781e+00 
       7.006433457646e+13       1.539720110536e-25       6.615664460696e-09       1.059141791573e+22       1.152959485625e+04       1.645572590669e-10       8.078133915391e+17       3.819286859283e-09       6.630817558567e+43       8.431474332349e+32       4.606848584460e+33       2.985121549152e-08       2.487863530819e+37       4.586993299584e+43       1.121781334656e+44       1.121781334656e+44       3.739270534837e+43      -2.261017651210e+52       8.361680924578e-05       2.810912935241e+00 
       6.957729352168e+13       1.561351637985e-25       6.661139195785e-09       1.044468060364e+22       1.152959485625e+04       1.657091598806e-10       8.021980054991e+17       3.846021866744e-09       6.448358831118e+43       8.256863605531e+32       4.511443540458e+33       2.985121549152e-08       2.431248222014e+37       4.460774028301e+43       1.090913529120e+44       1.090913529120e+44       3.636377862931e+43      -2.183517114316e+52       8.525635450385e-05       2.756856916446e+00 
       6.909363805516e+13       1.583287066751e-25       6.708432920277e-09       1.029997624306e+22       1.152959485625e+04       1.668691240001e-10       7.966216539201e+17       3.872944019242e-09       6.270920779767e+43       8.085868961110e+32       4.418014277135e+33       2.985121549152e-08       2.375921285000e+37       4.338027904546e+43       1.060895106076e+44       1.060895106076e+44       3.536316465696e+43      -2.108673050815e+52       8.689589976102e-05       2.704840747413e+00 
       6.861334464253e+13       1.605530666344e-25       6.755726644769e-09       1.015727666875e+22       1.152959485625e+04       1.680372078684e-10       7.910840654604e+17       3.900054626793e-09       6.098365251689e+43       7.918415512210e+32       4.326519877269e+33       2.985121549152e-08       2.321853400817e+37       4.218659358494e+43       1.031702693255e+44       1.031702693255e+44       3.439008435579e+43      -2.036394405196e+52       8.853544501730e-05       2.654751103154e+00 
