# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ULAfld         14:(.)w_ULAfld           15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.807304096736e+04       2.146262376182e-06       2.424505696032e+01       7.874738433191e+02       1.265354721883e+04       7.000950834228e-01       2.287007308155e+08       1.387323346496e+01       2.936297945550e+05       1.447365792182e+04       7.908219592541e+04       2.985121549152e-08       2.980544857878e+04      -5.869433486558e-03       2.031239569307e+05       6.201150539118e+05       6.201150539118e+05       1.654096427306e+05      -2.885763706239e+04       9.117656362200e-04       2.378526225517e-01 
       1.794735853353e+04       2.175356515061e-06       2.440572043866e+01       7.771030991139e+02       1.265338655535e+04       7.049885108833e-01       2.271075185587e+08       1.396431839326e+01       2.855472732077e+05       1.417381389502e+04       7.744388692276e+04       2.985121549152e-08       2.919153251367e+04      -5.748538157607e-03       1.975327201132e+05       6.038892266524e+05       6.038892266524e+05       1.608588558018e+05      -2.788763546095e+04       9.132834419083e-04       2.388731117023e-01 
       1.782254982452e+04       2.204838926713e-06       2.456739590988e+01       7.668718808564e+02       1.265322487988e+04       7.099160944062e-01       2.255253840874e+08       1.405596557302e+01       2.776872182545e+05       1.388018103675e+04       7.583951494206e+04       2.985121549152e-08       2.859018878881e+04      -5.630118634871e-03       1.920953786261e+05       5.880924816483e+05       5.880924816483e+05       1.564332328055e+05      -2.695034133378e+04       9.148103037318e-04       2.398974087874e-01 
       1.769860876698e+04       2.234714677983e-06       2.473008912094e+01       7.567782860522e+02       1.265306218667e+04       7.148780717838e-01       2.239542504083e+08       1.414817804136e+01       2.700435067942e+05       1.359263069396e+04       7.426837703971e+04       2.985121549152e-08       2.800116287546e+04      -5.514124795316e-03       1.868076968368e+05       5.727133742401e+05       5.727133742401e+05       1.521293326371e+05      -2.604464881425e+04       9.163462830171e-04       2.409255089651e-01 
       1.757552932976e+04       2.264988899765e-06       2.489380584439e+01       7.468204383312e+02       1.265289846995e+04       7.198746824562e-01       2.223940410635e+08       1.424095884673e+01       2.626101844370e+05       1.331103687829e+04       7.272978483154e+04       2.985121549152e-08       2.742420527843e+04      -5.400507507144e-03       1.816655556839e+05       5.577407671092e+05       5.577407671092e+05       1.479438087471e+05      -2.516948951271e+04       9.178914414805e-04       2.419574071697e-01 
       1.745330552364e+04       2.295666787782e-06       2.505855187837e+01       7.369964870879e+02       1.265273372391e+04       7.249061675226e-01       2.208446801264e+08       1.433431104891e+01       2.553814606677e+05       1.303527621085e+04       7.122306419125e+04       2.985121549152e-08       2.685907144145e+04      -5.289218611142e-03       1.766649494687e+05       5.431638219800e+05       5.431638219800e+05       1.438734065449e+05      -2.432383124402e+04       9.194458412305e-04       2.429930981097e-01 
       1.733193140104e+04       2.326753603368e-06       2.522433304667e+01       7.273046071269e+02       1.265256794274e+04       7.299727697524e-01       2.193060921985e+08       1.442823771898e+01       2.483517043346e+05       1.276522786817e+04       6.974755495510e+04       2.985121549152e-08       2.630552165403e+04      -5.180210902360e-03       1.718019827361e+05       5.289719915481e+05       5.289719915481e+05       1.399149608735e+05      -2.350667679822e+04       9.210095447696e-04       2.440325762671e-01 
       1.721140105570e+04       2.358254674256e-06       2.539115519879e+01       7.177429983128e+02       1.265240112059e+04       7.350747335973e-01       2.177782024052e+08       1.452274193933e+01       2.415154392650e+05       1.250077352933e+04       6.830261063276e+04       2.985121549152e-08       2.576332095997e+04      -5.073438112085e-03       1.670728672400e+05       5.151550116271e+05       5.151550116271e+05       1.360653935538e+05      -2.271706275314e+04       9.225826149969e-04       2.450758358959e-01 
       1.709170862247e+04       2.390175395387e-06       2.555902420995e+01       7.083098852251e+02       1.265223325158e+04       7.402123052019e-01       2.162609363927e+08       1.461782680364e+01       2.348673399992e+05       1.224179732406e+04       6.688759812409e+04       2.985121549152e-08       2.523223906737e+04      -4.968854890119e-03       1.624739189929e+05       5.017028935076e+05       5.017028935076e+05       1.323217109962e+05      -2.195405832727e+04       9.241651152103e-04       2.461228710211e-01 
       1.697284827691e+04       2.422521229713e-06       2.572794598113e+01       6.990035168182e+02       1.265206432981e+04       7.453857324164e-01       2.147542203238e+08       1.471349541681e+01       2.284022276430e+05       1.198818578201e+04       6.550189744182e+04       2.985121549152e-08       2.471205026018e+04      -4.866416787361e-03       1.580015553972e+05       4.886059165242e+05       4.886059165242e+05       1.286810018771e+05      -2.121676427173e+04       9.257571091084e-04       2.471736754375e-01 
