# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  196       7.282923536899e-10       8.960318527331e-14      -2.654214630687e-12       0.000000000000e+00 
  197       7.301968567093e-10       8.908799841426e-14      -2.498728451835e-12       0.000000000000e+00 
  198       7.320265588216e-10       8.866909387566e-14      -2.340199697723e-12       0.000000000000e+00 
  199       7.337806682766e-10       8.835186197729e-14      -2.178684315589e-12       0.000000000000e+00 
  200       7.354583959468e-10       8.814180832686e-14      -2.014241149337e-12       0.000000000000e+00 
  201       7.370590130560e-10       8.804429254081e-14      -1.846928921648e-12       0.000000000000e+00 
  202       7.385820288859e-10       8.806372156671e-14      -1.676796868978e-12       0.000000000000e+00 
  203       7.400270258432e-10       8.820430056515e-14      -1.503893502788e-12       0.000000000000e+00 
  204       7.413936031101e-10       8.847029019695e-14      -1.328269626525e-12       0.000000000000e+00 
  205       7.426813768482e-10       8.886600682974e-14      -1.149978360808e-12       0.000000000000e+00 
  206       7.438899804039e-10       8.939582274461e-14      -9.690751686049e-13       0.000000000000e+00 
  207       7.450190645119e-10       9.006416634268e-14      -7.856178804183e-13       0.000000000000e+00 
  208       7.460682975003e-10       9.087552235176e-14      -5.996667194641e-13       0.000000000000e+00 
  209       7.470373654947e-10       9.183443203296e-14      -4.112843268549e-13       0.000000000000e+00 
  210       7.479259726228e-10       9.294549338724e-14      -2.205357867814e-13       0.000000000000e+00 
  211       7.487338412189e-10       9.421336136213e-14      -2.748865169390e-14       0.000000000000e+00 
  212       7.494607120281e-10       9.564274805826e-14       1.677870325154e-13       0.000000000000e+00 
  213       7.501063444111e-10       9.723842293600e-14       3.652187013314e-13       0.000000000000e+00 
  214       7.506705165483e-10       9.900521302209e-14       5.647312464335e-13       0.000000000000e+00 
  215       7.511530256444e-10       1.009480031162e-13       7.662469905146e-13       0.000000000000e+00 
  216       7.515536881331e-10       1.030717359977e-13       9.696856620990e-13       0.000000000000e+00 
  217       7.518723398809e-10       1.053814126321e-13       1.174964370361e-12       0.000000000000e+00 
  218       7.521088363924e-10       1.078820923776e-13       1.381997579941e-12       0.000000000000e+00 
  219       7.522630530140e-10       1.105788931919e-13       1.590697085769e-12       0.000000000000e+00 
  220       7.523348851387e-10       1.134769918390e-13       1.800971987877e-12       0.000000000000e+00 
  221       7.523242484107e-10       1.165816240952e-13       2.012728666220e-12       0.000000000000e+00 
  222       7.522310789293e-10       1.198980849563e-13       2.225870755494e-12       0.000000000000e+00 
  223       7.520553334541e-10       1.234317288438e-13       2.440299119955e-12       0.000000000000e+00 
  224       7.517970091700e-10       1.271876075254e-13       2.655917042512e-12       0.000000000000e+00 
  225       7.514562039735e-10       1.311693575840e-13       2.872646214821e-12       0.000000000000e+00 
  226       7.510330604587e-10       1.353802418105e-13       3.090411726651e-12       0.000000000000e+00 
  227       7.505277469546e-10       1.398235044072e-13       3.309136931325e-12       0.000000000000e+00 
  228       7.499404577757e-10       1.445023703328e-13       3.528743432961e-12       0.000000000000e+00 
  229       7.492714134731e-10       1.494200446456e-13       3.749151073699e-12       0.000000000000e+00 
  230       7.485208610857e-10       1.545797118482e-13       3.970277920936e-12       0.000000000000e+00 
  231       7.476890743910e-10       1.599845352309e-13       4.192040254563e-12       0.000000000000e+00 
  232       7.467763541562e-10       1.656376562162e-13       4.414352554191e-12       0.000000000000e+00 
  233       7.457830283895e-10       1.715421937028e-13       4.637127486392e-12       0.000000000000e+00 
  234       7.447094525907e-10       1.777012434091e-13       4.860275891925e-12       0.000000000000e+00 
  235       7.435560100022e-10       1.841178772180e-13       5.083706772974e-12       0.000000000000e+00 
  236       7.423231118605e-10       1.907951425204e-13       5.307327280381e-12       0.000000000000e+00 
  237       7.410111976470e-10       1.977360615593e-13       5.531042700876e-12       0.000000000000e+00 
  238       7.396207353386e-10       2.049436307741e-13       5.754756444314e-12       0.000000000000e+00 
  239       7.381522216595e-10       2.124208201443e-13       5.978370030903e-12       0.000000000000e+00 
  240       7.366061823316e-10       2.201705725336e-13       6.201783078445e-12       0.000000000000e+00 
  241       7.349831723257e-10       2.281958030341e-13       6.424893289562e-12       0.000000000000e+00 
  242       7.332837761126e-10       2.364993983102e-13       6.647596438932e-12       0.000000000000e+00 
  243       7.315086079143e-10       2.450842159426e-13       6.869786360523e-12       0.000000000000e+00 
  244       7.296583119545e-10       2.539530837724e-13       7.091354934825e-12       0.000000000000e+00 
  245       7.277335627100e-10       2.631087992450e-13       7.312192076082e-12       0.000000000000e+00 
  246       7.257350651619e-10       2.725541287544e-13       7.532185719530e-12       0.000000000000e+00 
  247       7.236635550460e-10       2.822918069869e-13       7.751221808625e-12       0.000000000000e+00 
  248       7.215197991045e-10       2.923245362654e-13       7.969184282276e-12       0.000000000000e+00 
  249       7.193045953366e-10       3.026549858932e-13       8.185955062085e-12       0.000000000000e+00 
  250       7.170187466218e-10       3.132854362615e-13       8.401421227956e-12       0.000000000000e+00 
  251       7.146629793828e-10       3.242166897479e-13       8.615497030545e-12       0.000000000000e+00 
  252       7.122380207152e-10       3.354490956788e-13       8.828103124623e-12       0.000000000000e+00 
  253       7.097446247923e-10       3.469828985804e-13       9.039159495997e-12       0.000000000000e+00 
  254       7.071835730643e-10       3.588182368438e-13       9.248585462488e-12       0.000000000000e+00 
  255       7.045556744594e-10       3.709551413897e-13       9.456299674917e-12       0.000000000000e+00 
  256       7.018617655834e-10       3.833935343328e-13       9.662220118078e-12       0.000000000000e+00 
  257       6.991027109197e-10       3.961332276467e-13       9.866264111721e-12       0.000000000000e+00 
  258       6.962794030297e-10       4.091739218286e-13       1.006834831154e-11       0.000000000000e+00 
  259       6.933927627529e-10       4.225152045639e-13       1.026838871012e-11       0.000000000000e+00 
  260       6.904437394067e-10       4.361565493909e-13       1.046630063798e-11       0.000000000000e+00 
  261       6.874333109866e-10       4.500973143656e-13       1.066199876448e-11       0.000000000000e+00 
  262       6.843624843667e-10       4.643367407262e-13       1.085539709886e-11       0.000000000000e+00 
  263       6.812322954992e-10       4.788739515580e-13       1.104640899117e-11       0.000000000000e+00 
  264       6.780438096150e-10       4.937079504579e-13       1.123494713331e-11       0.000000000000e+00 
  265       6.747981214233e-10       5.088376201993e-13       1.142092355994e-11       0.000000000000e+00 
  266       6.714963553123e-10       5.242617213965e-13       1.160424964951e-11       0.000000000000e+00 
  267       6.681396655488e-10       5.399788911698e-13       1.178483612524e-11       0.000000000000e+00 
  268       6.647292364786e-10       5.559876418097e-13       1.196259305605e-11       0.000000000000e+00 
  269       6.612662827265e-10       5.722863594421e-13       1.213742985762e-11       0.000000000000e+00 
  270       6.577520493961e-10       5.888733026924e-13       1.230925529327e-11       0.000000000000e+00 
  271       6.541878122707e-10       6.057466013509e-13       1.247797747505e-11       0.000000000000e+00 
  272       6.505748780125e-10       6.229042550368e-13       1.264350386463e-11       0.000000000000e+00 
  273       6.469145843632e-10       6.403441318635e-13       1.280574127432e-11       0.000000000000e+00 
  274       6.432083003441e-10       6.580639671026e-13       1.296459586805e-11       0.000000000000e+00 
  275       6.394574264561e-10       6.760613618494e-13       1.311997316235e-11       0.000000000000e+00 
  276       6.356633948797e-10       6.943337816869e-13       1.327177802730e-11       0.000000000000e+00 
  277       6.318276696751e-10       7.128785553508e-13       1.341991468757e-11       0.000000000000e+00 
  278       6.279517469828e-10       7.316928733944e-13       1.356428672333e-11       0.000000000000e+00 
  279       6.240370756659e-10       7.507736796676e-13       1.370480468632e-11       0.000000000000e+00 
  280       6.200848142774e-10       7.701173422795e-13       1.384140938259e-11       0.000000000000e+00 
  281       6.160960618921e-10       7.897199629878e-13       1.397404979793e-11       0.000000000000e+00 
  282       6.120719366065e-10       8.095774813552e-13       1.410267560403e-11       0.000000000000e+00 
  283       6.080135756171e-10       8.296856732497e-13       1.422723717123e-11       0.000000000000e+00 
  284       6.039221352982e-10       8.500401493443e-13       1.434768558117e-11       0.000000000000e+00 
  285       5.997987912799e-10       8.706363536177e-13       1.446397263945e-11       0.000000000000e+00 
  286       5.956447385256e-10       8.914695618535e-13       1.457605088833e-11       0.000000000000e+00 
  287       5.914611914104e-10       9.125348801409e-13       1.468387361939e-11       0.000000000000e+00 
  288       5.872493837987e-10       9.338272433745e-13       1.478739488624e-11       0.000000000000e+00 
  289       5.830105691222e-10       9.553414137543e-13       1.488656951715e-11       0.000000000000e+00 
  290       5.787460204576e-10       9.770719792859e-13       1.498135312777e-11       0.000000000000e+00 
  291       5.744570306049e-10       9.990133522802e-13       1.507170213377e-11       0.000000000000e+00 
  292       5.701449121647e-10       1.021159767854e-12       1.515757376357e-11       0.000000000000e+00 
  293       5.658109976167e-10       1.043505282430e-12       1.523892607094e-11       0.000000000000e+00 
  294       5.614566393974e-10       1.066043772235e-12       1.531571794776e-11       0.000000000000e+00 
  295       5.570832099775e-10       1.088768931803e-12       1.538790913664e-11       0.000000000000e+00 
  296       5.526921019408e-10       1.111674272475e-12       1.545546024361e-11       0.000000000000e+00 
  297       5.482847280610e-10       1.134753120894e-12       1.551833275082e-11       0.000000000000e+00 
  298       5.438625213804e-10       1.157998617513e-12       1.557648902920e-11       0.000000000000e+00 
  299       5.394269352874e-10       1.181403715087e-12       1.562989235112e-11       0.000000000000e+00 
  300       5.349794435944e-10       1.204961177181e-12       1.567850690309e-11       0.000000000000e+00 
  301       5.305215406161e-10       1.228663576662e-12       1.572229779846e-11       0.000000000000e+00 
