# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.786454018137e-02       1.731967010123e+04 
       3.804282088805e-02       1.724083739404e+04 
       3.822248076511e-02       1.716196845361e+04 
       3.840356837442e-02       1.708309448656e+04 
       3.858613457205e-02       1.700437805929e+04 
       3.877023265129e-02       1.692557741479e+04 
       3.895591849676e-02       1.684679937615e+04 
       3.914325075093e-02       1.676803663754e+04 
       3.933229099402e-02       1.668922792954e+04 
       3.952310393865e-02       1.661054767148e+04 
       3.971575764086e-02       1.653176817957e+04 
       3.991032372881e-02       1.645305092967e+04 
       4.010687765142e-02       1.637437108936e+04 
       4.030549894855e-02       1.629561438885e+04 
       4.050627154541e-02       1.621673604060e+04 
       4.070928407353e-02       1.613795475607e+04 
       4.091463022134e-02       1.605923314792e+04 
       4.112240911762e-02       1.598032257574e+04 
       4.133272575146e-02       1.590139422458e+04 
       4.154569143314e-02       1.582248299717e+04 
       4.176142430051e-02       1.574337033958e+04 
       4.198004987645e-02       1.566422812436e+04 
       4.220170168357e-02       1.558515202413e+04 
       4.242652192332e-02       1.550580895369e+04 
       4.265466222754e-02       1.542647965408e+04 
       4.288628449194e-02       1.534697877523e+04 
       4.312156180218e-02       1.526731990765e+04 
       4.336067946497e-02       1.518738531175e+04 
       4.360383615878e-02       1.510760027877e+04 
       4.385124522052e-02       1.502740544168e+04 
       4.410313608808e-02       1.494710710597e+04 
       4.435975592105e-02       1.486657805090e+04 
       4.462137142655e-02       1.478576774882e+04 
       4.488827092121e-02       1.470474434402e+04 
       4.516076666643e-02       1.462347068759e+04 
       4.543919752026e-02       1.454179199090e+04 
       4.572393195796e-02       1.445979666420e+04 
       4.601537152274e-02       1.437749560864e+04 
       4.631395478061e-02       1.429481900382e+04 
       4.662016186792e-02       1.421166324391e+04 
       4.693451973833e-02       1.412810266822e+04 
       4.725760823845e-02       1.404392051074e+04 
       4.759006716930e-02       1.395916229566e+04 
       4.793260452518e-02       1.387391329284e+04 
       4.828600614492e-02       1.378807558301e+04 
       4.865114706475e-02       1.370120959400e+04 
       4.902900493043e-02       1.361390337790e+04 
       4.942067591259e-02       1.352555119943e+04 
       4.982739367910e-02       1.343574648154e+04 
       5.025055211759e-02       1.334529674637e+04 
       5.069173267895e-02       1.325404717002e+04 
       5.115273743922e-02       1.316074193899e+04 
       5.163562926573e-02       1.306666524668e+04 
       5.214278083871e-02       1.297063935980e+04 
       5.267693473961e-02       1.287280093041e+04 
       5.324127738547e-02       1.277237630765e+04 
       5.383953027310e-02       1.267030663162e+04 
       5.447606277852e-02       1.256455024993e+04 
       5.515603156334e-02       1.245672216064e+04 
       5.588555227525e-02       1.234392361674e+04 
       5.667190925559e-02       1.222758933276e+04 
       5.752380746105e-02       1.210527892408e+04 
       5.845166594430e-02       1.197648034752e+04 
       5.946794059141e-02       1.183936953855e+04 
       6.058743937351e-02       1.169221334970e+04 
       6.182754674295e-02       1.153217705920e+04 
       6.320819351446e-02       1.135498008301e+04 
       6.475129000827e-02       1.115678707212e+04 
       6.647921333424e-02       1.093073767096e+04 
       6.841192418790e-02       1.066939418256e+04 
       7.056263881041e-02       1.036611090336e+04 
       7.293295005072e-02       1.001418900702e+04 
       7.550958766922e-02       9.611505637983e+03 
       7.826529561900e-02       9.161400880206e+03 
       8.116429134032e-02       8.674937250725e+03 
       8.416970063626e-02       8.169099493783e+03 
       8.724940127907e-02       7.663394283908e+03 
       9.037859295658e-02       7.176845306727e+03 
       9.353968144815e-02       6.725719187222e+03 
       9.672087747936e-02       6.321618746716e+03 
       9.991457038474e-02       5.970406366059e+03 
       1.031159620835e-01       5.674051355225e+03 
       1.063220720655e-01       5.429039222301e+03 
       1.095310656294e-01       5.229445324399e+03 
       1.127418195905e-01       5.066693057557e+03 
       1.159536485732e-01       4.930722267622e+03 
       1.191661351074e-01       4.811302026994e+03 
       1.223790251171e-01       4.698661433661e+03 
       1.255921639856e-01       4.584353776587e+03 
       1.288054575714e-01       4.461801756396e+03 
       1.320188484846e-01       4.327035584377e+03 
       1.352323016674e-01       4.179120170506e+03 
       1.384457956348e-01       4.018928805373e+03 
       1.416593171555e-01       3.849559843079e+03 
       1.448728580223e-01       3.675870182035e+03 
       1.480864130910e-01       3.502984624886e+03 
       1.512999790887e-01       3.336007351313e+03 
       1.545135538902e-01       3.179298050670e+03 
       1.577271360774e-01       3.036314471420e+03 
       1.609407246709e-01       2.909287686017e+03 
       1.641543189667e-01       2.798966603341e+03 
       1.673679184360e-01       2.704950854056e+03 
       1.705815226636e-01       2.625663743380e+03 
       1.737951313100e-01       2.558868407779e+03 
       1.770087440880e-01       2.501597853004e+03 
       1.802223607476e-01       2.450786668512e+03 
       1.834359810666e-01       2.403510131329e+03 
       1.866496048443e-01       2.357193058615e+03 
       1.898632318976e-01       2.309078726293e+03 
       1.930768620578e-01       2.257413657813e+03 
       1.962904951689e-01       2.201153374636e+03 
       1.995041310858e-01       2.140419212969e+03 
       2.027177696732e-01       2.075851881685e+03 
       2.059314108045e-01       2.008641076781e+03 
       2.091450543613e-01       1.940563128452e+03 
       2.123587002325e-01       1.873124821379e+03 
       2.155723483137e-01       1.807996398934e+03 
       2.187859985067e-01       1.746399317098e+03 
       2.219996507191e-01       1.689249166844e+03 
       2.252133048639e-01       1.637200302152e+03 
       2.284269608589e-01       1.590427879121e+03 
       2.316406186265e-01       1.548887856602e+03 
       2.348542780934e-01       1.512102979334e+03 
