# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.577271360774e-01       3.405251438498e+03 
       1.609407246709e-01       3.289103480071e+03 
       1.641543189667e-01       3.188788991869e+03 
       1.673679184360e-01       3.103898488122e+03 
       1.705815226636e-01       3.032906104524e+03 
       1.737951313100e-01       2.973666964416e+03 
       1.770087440880e-01       2.923345356609e+03 
       1.802223607476e-01       2.879013206823e+03 
       1.834359810666e-01       2.837872766583e+03 
       1.866496048443e-01       2.797453956381e+03 
       1.898632318976e-01       2.755102979991e+03 
       1.930768620578e-01       2.709127568729e+03 
       1.962904951689e-01       2.658521423511e+03 
       1.995041310858e-01       2.603410528161e+03 
       2.027177696732e-01       2.544430925387e+03 
       2.059314108045e-01       2.482753791871e+03 
       2.091450543613e-01       2.420114076302e+03 
       2.123587002325e-01       2.357980264102e+03 
       2.155723483137e-01       2.297965822791e+03 
       2.187859985067e-01       2.241241258454e+03 
       2.219996507191e-01       2.188674073130e+03 
       2.252133048639e-01       2.140875137700e+03 
       2.284269608589e-01       2.097996519593e+03 
       2.316406186265e-01       2.059983016920e+03 
       2.348542780934e-01       2.026372551029e+03 
       2.380679391905e-01       1.996646424952e+03 
       2.412816018521e-01       1.969912377513e+03 
       2.444952660162e-01       1.945214136668e+03 
       2.477089316238e-01       1.921691888133e+03 
       2.509225986192e-01       1.898392650003e+03 
       2.541362669493e-01       1.874697577579e+03 
       2.573499365640e-01       1.850163598298e+03 
       2.605636074152e-01       1.824524815350e+03 
       2.637772794577e-01       1.797752416516e+03 
       2.669909526481e-01       1.769988522539e+03 
       2.702046269452e-01       1.741492214088e+03 
       2.734183023097e-01       1.712673370427e+03 
       2.766319787043e-01       1.684008730126e+03 
       2.798456560933e-01       1.655954165878e+03 
       2.830593344425e-01       1.628951288679e+03 
       2.862730137195e-01       1.603373658175e+03 
       2.894866938933e-01       1.579406756487e+03 
       2.927003749340e-01       1.557164878767e+03 
       2.959140568133e-01       1.536617685076e+03 
       2.991277395041e-01       1.517606339543e+03 
       3.023414229803e-01       1.499922146611e+03 
       3.055551072170e-01       1.483326902952e+03 
       3.087687921904e-01       1.467563568618e+03 
       3.119824778775e-01       1.452331982431e+03 
       3.151961642564e-01       1.437432413651e+03 
       3.184098513061e-01       1.422617092041e+03 
       3.216235390064e-01       1.407724791233e+03 
       3.248372273378e-01       1.392646311530e+03 
       3.280509162817e-01       1.377344996459e+03 
       3.312646058203e-01       1.361828045362e+03 
       3.344782959362e-01       1.346247269627e+03 
       3.376919866130e-01       1.330642287373e+03 
       3.409056778346e-01       1.315210615470e+03 
       3.441193695858e-01       1.300054883177e+03 
       3.473330618518e-01       1.285286160652e+03 
       3.505467546183e-01       1.270993908697e+03 
       3.537604478717e-01       1.257238889804e+03 
       3.569741415987e-01       1.244072415998e+03 
       3.601878357867e-01       1.231508223812e+03 
       3.634015304232e-01       1.219532218441e+03 
       3.666152254966e-01       1.208092515260e+03 
       3.698289209953e-01       1.197116848475e+03 
       3.730426169084e-01       1.186505722649e+03 
       3.762563132250e-01       1.176179850309e+03 
       3.794700099351e-01       1.166050958061e+03 
       3.826837070285e-01       1.156055130837e+03 
       3.858974044957e-01       1.146149532295e+03 
       3.891111023274e-01       1.136308510969e+03 
       3.923248005145e-01       1.126510710556e+03 
       3.955384990485e-01       1.116768187215e+03 
       3.987521979208e-01       1.107076968573e+03 
       4.019658971233e-01       1.097457589935e+03 
       4.051795966482e-01       1.087938697240e+03 
       4.083932964878e-01       1.078555131989e+03 
       4.116069966346e-01       1.069342944132e+03 
       4.148206970816e-01       1.060335275363e+03 
       4.180343978218e-01       1.051550044727e+03 
       4.212480988484e-01       1.042996085695e+03 
       4.244618001549e-01       1.034679324475e+03 
       4.276755017350e-01       1.026570510702e+03 
       4.308892035825e-01       1.018683125476e+03 
       4.341029056915e-01       1.010991546915e+03 
       4.373166080561e-01       1.003490496433e+03 
       4.405303106709e-01       9.961484781023e+02 
       4.437440135302e-01       9.889705246502e+02 
       4.469577166289e-01       9.818992722019e+02 
